,開催回,抽選日,抽選数字
873,第0874回,2001/06/27,454
874,第0875回,2001/06/29,778
875,第0876回,2001/07/02,845
876,第0877回,2001/07/04,589
877,第0878回,2001/07/06,318
878,第0879回,2001/07/09,908
879,第0880回,2001/07/11,678
880,第0881回,2001/07/13,494
881,第0882回,2001/07/16,703
882,第0883回,2001/07/18,745
883,第0884回,2001/07/20,388
884,第0885回,2001/07/23,307
885,第0886回,2001/07/25,302
886,第0887回,2001/07/27,672
887,第0888回,2001/07/30,691
888,第0889回,2001/08/01,139
889,第0890回,2001/08/03,332
890,第0891回,2001/08/06,254
891,第0892回,2001/08/08,353
892,第0893回,2001/08/10,184
893,第0894回,2001/08/13,592
894,第0895回,2001/08/15,614
895,第0896回,2001/08/17,108
896,第0897回,2001/08/20,055
897,第0898回,2001/08/22,980
898,第0899回,2001/08/24,350
899,第0900回,2001/08/27,088
900,第0901回,2001/08/29,694
901,第0902回,2001/08/31,377
902,第0903回,2001/09/03,648
903,第0904回,2001/09/05,005
904,第0905回,2001/09/07,812
905,第0906回,2001/09/10,202
906,第0907回,2001/09/12,865
907,第0908回,2001/09/14,042
908,第0909回,2001/09/17,116
909,第0910回,2001/09/19,947
910,第0911回,2001/09/21,972
911,第0912回,2001/09/24,891
912,第0913回,2001/09/26,524
913,第0914回,2001/09/28,737
914,第0915回,2001/10/01,356
915,第0916回,2001/10/03,276
916,第0917回,2001/10/05,502
917,第0918回,2001/10/08,997
918,第0919回,2001/10/10,223
919,第0920回,2001/10/12,498
920,第0921回,2001/10/15,315
921,第0922回,2001/10/17,893
922,第0923回,2001/10/19,232
923,第0924回,2001/10/22,511
924,第0925回,2001/10/24,971
925,第0926回,2001/10/26,373
926,第0927回,2001/10/29,468
927,第0928回,2001/10/31,848
928,第0929回,2001/11/02,032
929,第0930回,2001/11/05,905
930,第0931回,2001/11/07,330
931,第0932回,2001/11/09,471
932,第0933回,2001/11/12,337
933,第0934回,2001/11/14,361
934,第0935回,2001/11/16,304
935,第0936回,2001/11/19,666
936,第0937回,2001/11/21,865
937,第0938回,2001/11/23,603
938,第0939回,2001/11/26,308
939,第0940回,2001/11/28,188
940,第0941回,2001/11/30,059
941,第0942回,2001/12/03,614
942,第0943回,2001/12/05,881
943,第0944回,2001/12/07,937
944,第0945回,2001/12/10,019
945,第0946回,2001/12/12,361
946,第0947回,2001/12/14,220
947,第0948回,2001/12/17,478
948,第0949回,2001/12/19,788
949,第0950回,2001/12/21,707
950,第0951回,2001/12/24,147
951,第0952回,2001/12/26,549
952,第0953回,2001/12/28,875
953,第0954回,2002/01/04,103
954,第0955回,2002/01/07,845
955,第0956回,2002/01/09,981
956,第0957回,2002/01/11,533
957,第0958回,2002/01/14,454
958,第0959回,2002/01/16,911
959,第0960回,2002/01/18,060
960,第0961回,2002/01/21,345
961,第0962回,2002/01/23,559
962,第0963回,2002/01/25,805
963,第0964回,2002/01/28,230
964,第0965回,2002/01/30,131
965,第0966回,2002/02/01,832
966,第0967回,2002/02/04,715
967,第0968回,2002/02/06,181
968,第0969回,2002/02/08,950
969,第0970回,2002/02/11,749
970,第0971回,2002/02/13,147
971,第0972回,2002/02/15,337
972,第0973回,2002/02/18,557
973,第0974回,2002/02/20,795
974,第0975回,2002/02/22,432
975,第0976回,2002/02/25,000
976,第0977回,2002/02/27,192
977,第0978回,2002/03/01,158
978,第0979回,2002/03/04,011
979,第0980回,2002/03/06,420
980,第0981回,2002/03/08,250
981,第0982回,2002/03/11,071
982,第0983回,2002/03/13,727
983,第0984回,2002/03/15,824
984,第0985回,2002/03/18,622
985,第0986回,2002/03/20,505
986,第0987回,2002/03/22,683
987,第0988回,2002/03/25,241
988,第0989回,2002/03/27,979
989,第0990回,2002/03/29,543
990,第0991回,2002/04/01,505
991,第0992回,2002/04/03,124
992,第0993回,2002/04/05,393
993,第0994回,2002/04/08,658
994,第0995回,2002/04/10,312
995,第0996回,2002/04/12,931
996,第0997回,2002/04/15,168
997,第0998回,2002/04/17,851
998,第0999回,2002/04/19,189
999,第1000回,2002/04/22,165
1000,第1001回,2002/04/24,828
1001,第1002回,2002/04/26,324
1002,第1003回,2002/04/29,241
1003,第1004回,2002/05/01,629
1004,第1005回,2002/05/03,215
1005,第1006回,2002/05/06,233
1006,第1007回,2002/05/08,297
1007,第1008回,2002/05/10,381
1008,第1009回,2002/05/13,699
1009,第1010回,2002/05/15,695
1010,第1011回,2002/05/17,813
1011,第1012回,2002/05/20,690
1012,第1013回,2002/05/22,199
1013,第1014回,2002/05/24,758
1014,第1015回,2002/05/27,922
1015,第1016回,2002/05/29,810
1016,第1017回,2002/05/31,463
1017,第1018回,2002/06/03,749
1018,第1019回,2002/06/05,546
1019,第1020回,2002/06/07,140
1020,第1021回,2002/06/10,642
1021,第1022回,2002/06/12,463
1022,第1023回,2002/06/14,224
1023,第1024回,2002/06/17,423
1024,第1025回,2002/06/19,793
1025,第1026回,2002/06/21,554
1026,第1027回,2002/06/24,794
1027,第1028回,2002/06/26,441
1028,第1029回,2002/06/28,825
1029,第1030回,2002/07/01,260
1030,第1031回,2002/07/03,216
1031,第1032回,2002/07/05,404
1032,第1033回,2002/07/08,466
1033,第1034回,2002/07/10,249
1034,第1035回,2002/07/12,067
1035,第1036回,2002/07/15,524
1036,第1037回,2002/07/17,925
1037,第1038回,2002/07/19,143
1038,第1039回,2002/07/22,258
1039,第1040回,2002/07/24,108
1040,第1041回,2002/07/26,526
1041,第1042回,2002/07/29,647
1042,第1043回,2002/07/31,844
1043,第1044回,2002/08/02,883
1044,第1045回,2002/08/05,267
1045,第1046回,2002/08/07,676
1046,第1047回,2002/08/09,165
1047,第1048回,2002/08/12,602
1048,第1049回,2002/08/14,006
1049,第1050回,2002/08/16,290
1050,第1051回,2002/08/19,538
1051,第1052回,2002/08/21,642
1052,第1053回,2002/08/23,670
1053,第1054回,2002/08/26,911
1054,第1055回,2002/08/28,552
1055,第1056回,2002/08/30,646
1056,第1057回,2002/09/02,137
1057,第1058回,2002/09/04,347
1058,第1059回,2002/09/06,879
1059,第1060回,2002/09/09,966
1060,第1061回,2002/09/11,995
1061,第1062回,2002/09/13,165
1062,第1063回,2002/09/16,966
1063,第1064回,2002/09/18,228
1064,第1065回,2002/09/20,385
1065,第1066回,2002/09/23,571
1066,第1067回,2002/09/25,259
1067,第1068回,2002/09/27,330
1068,第1069回,2002/09/30,670
1069,第1070回,2002/10/02,853
1070,第1071回,2002/10/04,910
1071,第1072回,2002/10/07,382
1072,第1073回,2002/10/09,461
1073,第1074回,2002/10/11,866
1074,第1075回,2002/10/14,567
1075,第1076回,2002/10/16,954
1076,第1077回,2002/10/18,294
1077,第1078回,2002/10/21,408
1078,第1079回,2002/10/23,438
1079,第1080回,2002/10/25,410
1080,第1081回,2002/10/28,465
1081,第1082回,2002/10/30,486
1082,第1083回,2002/11/01,334
1083,第1084回,2002/11/04,721
1084,第1085回,2002/11/06,175
1085,第1086回,2002/11/08,750
1086,第1087回,2002/11/11,299
1087,第1088回,2002/11/13,305
1088,第1089回,2002/11/15,670
1089,第1090回,2002/11/18,549
1090,第1091回,2002/11/20,621
1091,第1092回,2002/11/22,779
1092,第1093回,2002/11/25,782
1093,第1094回,2002/11/27,798
1094,第1095回,2002/11/29,289
1095,第1096回,2002/12/02,601
1096,第1097回,2002/12/04,188
1097,第1098回,2002/12/06,053
1098,第1099回,2002/12/09,180
1099,第1100回,2002/12/11,390
1100,第1101回,2002/12/13,232
1101,第1102回,2002/12/16,015
1102,第1103回,2002/12/18,270
1103,第1104回,2002/12/20,386
1104,第1105回,2002/12/23,748
1105,第1106回,2002/12/25,821
1106,第1107回,2002/12/27,519
1107,第1108回,2002/12/30,407
1108,第1109回,2003/01/06,739
1109,第1110回,2003/01/08,904
1110,第1111回,2003/01/10,850
1111,第1112回,2003/01/13,417
1112,第1113回,2003/01/15,735
1113,第1114回,2003/01/17,685
1114,第1115回,2003/01/20,703
1115,第1116回,2003/01/22,409
1116,第1117回,2003/01/24,718
1117,第1118回,2003/01/27,816
1118,第1119回,2003/01/29,264
1119,第1120回,2003/01/31,789
1120,第1121回,2003/02/03,996
1121,第1122回,2003/02/05,702
1122,第1123回,2003/02/07,687
1123,第1124回,2003/02/10,818
1124,第1125回,2003/02/12,820
1125,第1126回,2003/02/14,361
1126,第1127回,2003/02/17,554
1127,第1128回,2003/02/19,956
1128,第1129回,2003/02/21,264
1129,第1130回,2003/02/24,036
1130,第1131回,2003/02/26,210
1131,第1132回,2003/02/28,418
1132,第1133回,2003/03/03,036
1133,第1134回,2003/03/05,251
1134,第1135回,2003/03/07,887
1135,第1136回,2003/03/10,410
1136,第1137回,2003/03/12,233
1137,第1138回,2003/03/14,250
1138,第1139回,2003/03/17,072
1139,第1140回,2003/03/19,757
1140,第1141回,2003/03/21,917
1141,第1142回,2003/03/24,540
1142,第1143回,2003/03/26,129
1143,第1144回,2003/03/28,999
1144,第1145回,2003/03/31,126
1145,第1146回,2003/04/02,442
1146,第1147回,2003/04/04,428
1147,第1148回,2003/04/07,016
1148,第1149回,2003/04/09,511
1149,第1150回,2003/04/11,831
1150,第1151回,2003/04/14,714
1151,第1152回,2003/04/16,177
1152,第1153回,2003/04/18,687
1153,第1154回,2003/04/21,142
1154,第1155回,2003/04/23,309
1155,第1156回,2003/04/25,198
1156,第1157回,2003/04/28,041
1157,第1158回,2003/04/30,971
1158,第1159回,2003/05/02,806
1159,第1160回,2003/05/05,831
1160,第1161回,2003/05/07,577
1161,第1162回,2003/05/09,366
1162,第1163回,2003/05/12,990
1163,第1164回,2003/05/14,835
1164,第1165回,2003/05/16,644
1165,第1166回,2003/05/19,254
1166,第1167回,2003/05/21,183
1167,第1168回,2003/05/23,280
1168,第1169回,2003/05/26,400
1169,第1170回,2003/05/28,617
1170,第1171回,2003/05/30,581
1171,第1172回,2003/06/02,020
1172,第1173回,2003/06/04,271
1173,第1174回,2003/06/06,170
1174,第1175回,2003/06/09,493
1175,第1176回,2003/06/11,608
1176,第1177回,2003/06/13,441
1177,第1178回,2003/06/16,996
1178,第1179回,2003/06/18,889
1179,第1180回,2003/06/20,044
1180,第1181回,2003/06/23,346
1181,第1182回,2003/06/25,903
1182,第1183回,2003/06/27,609
1183,第1184回,2003/06/30,749
1184,第1185回,2003/07/02,342
1185,第1186回,2003/07/04,422
1186,第1187回,2003/07/07,184
1187,第1188回,2003/07/09,865
1188,第1189回,2003/07/11,463
1189,第1190回,2003/07/14,556
1190,第1191回,2003/07/16,269
1191,第1192回,2003/07/18,664
1192,第1193回,2003/07/21,686
1193,第1194回,2003/07/23,438
1194,第1195回,2003/07/25,416
1195,第1196回,2003/07/28,897
1196,第1197回,2003/07/30,695
1197,第1198回,2003/08/01,547
1198,第1199回,2003/08/04,152
1199,第1200回,2003/08/06,944
1200,第1201回,2003/08/08,957
1201,第1202回,2003/08/11,459
1202,第1203回,2003/08/13,989
1203,第1204回,2003/08/15,820
1204,第1205回,2003/08/18,766
1205,第1206回,2003/08/20,943
1206,第1207回,2003/08/22,958
1207,第1208回,2003/08/25,160
1208,第1209回,2003/08/27,612
1209,第1210回,2003/08/29,162
1210,第1211回,2003/09/01,304
1211,第1212回,2003/09/03,638
1212,第1213回,2003/09/05,415
1213,第1214回,2003/09/08,911
1214,第1215回,2003/09/10,979
1215,第1216回,2003/09/12,221
1216,第1217回,2003/09/15,279
1217,第1218回,2003/09/17,933
1218,第1219回,2003/09/19,825
1219,第1220回,2003/09/22,118
1220,第1221回,2003/09/24,496
1221,第1222回,2003/09/26,267
1222,第1223回,2003/09/29,784
1223,第1224回,2003/10/01,495
1224,第1225回,2003/10/03,913
1225,第1226回,2003/10/06,337
1226,第1227回,2003/10/08,953
1227,第1228回,2003/10/10,899
1228,第1229回,2003/10/13,842
1229,第1230回,2003/10/15,274
1230,第1231回,2003/10/17,260
1231,第1232回,2003/10/20,317
1232,第1233回,2003/10/22,738
1233,第1234回,2003/10/24,796
1234,第1235回,2003/10/27,235
1235,第1236回,2003/10/29,885
1236,第1237回,2003/10/31,852
1237,第1238回,2003/11/03,891
1238,第1239回,2003/11/05,348
1239,第1240回,2003/11/07,798
1240,第1241回,2003/11/10,930
1241,第1242回,2003/11/12,175
1242,第1243回,2003/11/14,622
1243,第1244回,2003/11/17,651
1244,第1245回,2003/11/19,704
1245,第1246回,2003/11/21,518
1246,第1247回,2003/11/24,054
1247,第1248回,2003/11/26,504
1248,第1249回,2003/11/28,455
1249,第1250回,2003/12/01,276
1250,第1251回,2003/12/03,106
1251,第1252回,2003/12/05,936
1252,第1253回,2003/12/08,353
1253,第1254回,2003/12/10,058
1254,第1255回,2003/12/12,958
1255,第1256回,2003/12/15,080
1256,第1257回,2003/12/17,239
1257,第1258回,2003/12/19,188
1258,第1259回,2003/12/22,606
1259,第1260回,2003/12/24,021
1260,第1261回,2003/12/26,724
1261,第1262回,2003/12/29,471
1262,第1263回,2004/01/05,491
1263,第1264回,2004/01/07,669
1264,第1265回,2004/01/09,409
1265,第1266回,2004/01/12,884
1266,第1267回,2004/01/14,121
1267,第1268回,2004/01/16,445
1268,第1269回,2004/01/19,136
1269,第1270回,2004/01/21,004
1270,第1271回,2004/01/23,320
1271,第1272回,2004/01/26,068
1272,第1273回,2004/01/28,337
1273,第1274回,2004/01/30,281
1274,第1275回,2004/02/02,427
1275,第1276回,2004/02/04,869
1276,第1277回,2004/02/06,777
1277,第1278回,2004/02/09,465
1278,第1279回,2004/02/11,583
1279,第1280回,2004/02/13,822
1280,第1281回,2004/02/16,040
1281,第1282回,2004/02/18,204
1282,第1283回,2004/02/20,513
1283,第1284回,2004/02/23,990
1284,第1285回,2004/02/25,119
1285,第1286回,2004/02/27,051
1286,第1287回,2004/03/01,745
1287,第1288回,2004/03/03,030
1288,第1289回,2004/03/05,407
1289,第1290回,2004/03/08,162
1290,第1291回,2004/03/10,517
1291,第1292回,2004/03/12,725
1292,第1293回,2004/03/15,000
1293,第1294回,2004/03/17,558
1294,第1295回,2004/03/19,170
1295,第1296回,2004/03/22,893
1296,第1297回,2004/03/24,526
1297,第1298回,2004/03/26,174
1298,第1299回,2004/03/29,211
1299,第1300回,2004/03/31,590
1300,第1301回,2004/04/02,820
1301,第1302回,2004/04/05,189
1302,第1303回,2004/04/07,330
1303,第1304回,2004/04/09,308
1304,第1305回,2004/04/12,936
1305,第1306回,2004/04/14,563
1306,第1307回,2004/04/16,900
1307,第1308回,2004/04/19,733
1308,第1309回,2004/04/21,374
1309,第1310回,2004/04/23,842
1310,第1311回,2004/04/26,922
1311,第1312回,2004/04/28,764
1312,第1313回,2004/04/30,671
1313,第1314回,2004/05/03,653
1314,第1315回,2004/05/05,758
1315,第1316回,2004/05/07,953
1316,第1317回,2004/05/10,737
1317,第1318回,2004/05/12,308
1318,第1319回,2004/05/14,567
1319,第1320回,2004/05/17,452
1320,第1321回,2004/05/19,490
1321,第1322回,2004/05/21,784
1322,第1323回,2004/05/24,302
1323,第1324回,2004/05/26,855
1324,第1325回,2004/05/28,226
1325,第1326回,2004/05/31,673
1326,第1327回,2004/06/02,215
1327,第1328回,2004/06/04,376
1328,第1329回,2004/06/07,554
1329,第1330回,2004/06/09,076
1330,第1331回,2004/06/11,859
1331,第1332回,2004/06/14,978
1332,第1333回,2004/06/16,134
1333,第1334回,2004/06/18,236
1334,第1335回,2004/06/21,462
1335,第1336回,2004/06/23,206
1336,第1337回,2004/06/25,814
1337,第1338回,2004/06/28,837
1338,第1339回,2004/06/30,902
1339,第1340回,2004/07/01,597
1340,第1341回,2004/07/02,670
1341,第1342回,2004/07/05,543
1342,第1343回,2004/07/06,879
1343,第1344回,2004/07/07,342
1344,第1345回,2004/07/08,994
1345,第1346回,2004/07/09,765
1346,第1347回,2004/07/12,018
1347,第1348回,2004/07/13,821
1348,第1349回,2004/07/14,498
1349,第1350回,2004/07/15,632
1350,第1351回,2004/07/16,240
1351,第1352回,2004/07/19,562
1352,第1353回,2004/07/20,931
1353,第1354回,2004/07/21,590
1354,第1355回,2004/07/22,078
1355,第1356回,2004/07/23,998
1356,第1357回,2004/07/26,883
1357,第1358回,2004/07/27,166
1358,第1359回,2004/07/28,973
1359,第1360回,2004/07/29,109
1360,第1361回,2004/07/30,223
1361,第1362回,2004/08/02,286
1362,第1363回,2004/08/03,844
1363,第1364回,2004/08/04,843
1364,第1365回,2004/08/05,970
1365,第1366回,2004/08/06,112
1366,第1367回,2004/08/09,451
1367,第1368回,2004/08/10,480
1368,第1369回,2004/08/11,955
1369,第1370回,2004/08/12,497
1370,第1371回,2004/08/13,822
1371,第1372回,2004/08/16,383
1372,第1373回,2004/08/17,611
1373,第1374回,2004/08/18,005
1374,第1375回,2004/08/19,281
1375,第1376回,2004/08/20,114
1376,第1377回,2004/08/23,066
1377,第1378回,2004/08/24,200
1378,第1379回,2004/08/25,717
1379,第1380回,2004/08/26,983
1380,第1381回,2004/08/27,558
1381,第1382回,2004/08/30,601
1382,第1383回,2004/08/31,512
1383,第1384回,2004/09/01,525
1384,第1385回,2004/09/02,355
1385,第1386回,2004/09/03,489
1386,第1387回,2004/09/06,905
1387,第1388回,2004/09/07,632
1388,第1389回,2004/09/08,463
1389,第1390回,2004/09/09,782
1390,第1391回,2004/09/10,808
1391,第1392回,2004/09/13,921
1392,第1393回,2004/09/14,190
1393,第1394回,2004/09/15,593
1394,第1395回,2004/09/16,234
1395,第1396回,2004/09/17,621
1396,第1397回,2004/09/20,934
1397,第1398回,2004/09/21,812
1398,第1399回,2004/09/22,540
1399,第1400回,2004/09/23,522
1400,第1401回,2004/09/24,206
1401,第1402回,2004/09/27,374
1402,第1403回,2004/09/28,638
1403,第1404回,2004/09/29,804
1404,第1405回,2004/09/30,187
1405,第1406回,2004/10/01,374
1406,第1407回,2004/10/04,835
1407,第1408回,2004/10/05,945
1408,第1409回,2004/10/06,949
1409,第1410回,2004/10/07,391
1410,第1411回,2004/10/08,355
1411,第1412回,2004/10/11,697
1412,第1413回,2004/10/12,620
1413,第1414回,2004/10/13,670
1414,第1415回,2004/10/14,189
1415,第1416回,2004/10/15,266
1416,第1417回,2004/10/18,876
1417,第1418回,2004/10/19,335
1418,第1419回,2004/10/20,064
1419,第1420回,2004/10/21,499
1420,第1421回,2004/10/22,490
1421,第1422回,2004/10/25,945
1422,第1423回,2004/10/26,234
1423,第1424回,2004/10/27,353
1424,第1425回,2004/10/28,660
1425,第1426回,2004/10/29,754
1426,第1427回,2004/11/01,638
1427,第1428回,2004/11/02,699
1428,第1429回,2004/11/03,819
1429,第1430回,2004/11/04,295
1430,第1431回,2004/11/05,742
1431,第1432回,2004/11/08,400
1432,第1433回,2004/11/09,638
1433,第1434回,2004/11/10,299
1434,第1435回,2004/11/11,545
1435,第1436回,2004/11/12,196
1436,第1437回,2004/11/15,667
1437,第1438回,2004/11/16,582
1438,第1439回,2004/11/17,306
1439,第1440回,2004/11/18,684
1440,第1441回,2004/11/19,798
1441,第1442回,2004/11/22,094
1442,第1443回,2004/11/23,701
1443,第1444回,2004/11/24,065
1444,第1445回,2004/11/25,392
1445,第1446回,2004/11/26,588
1446,第1447回,2004/11/29,925
1447,第1448回,2004/11/30,189
1448,第1449回,2004/12/01,940
1449,第1450回,2004/12/02,133
1450,第1451回,2004/12/03,288
1451,第1452回,2004/12/06,301
1452,第1453回,2004/12/07,966
1453,第1454回,2004/12/08,616
1454,第1455回,2004/12/09,363
1455,第1456回,2004/12/10,662
1456,第1457回,2004/12/13,310
1457,第1458回,2004/12/14,609
1458,第1459回,2004/12/15,869
1459,第1460回,2004/12/16,377
1460,第1461回,2004/12/17,279
1461,第1462回,2004/12/20,799
1462,第1463回,2004/12/21,344
1463,第1464回,2004/12/22,082
1464,第1465回,2004/12/23,824
1465,第1466回,2004/12/24,095
1466,第1467回,2004/12/27,625
1467,第1468回,2004/12/28,497
1468,第1469回,2004/12/29,213
1469,第1470回,2004/12/30,815
1470,第1471回,2005/01/04,902
1471,第1472回,2005/01/05,227
1472,第1473回,2005/01/06,429
1473,第1474回,2005/01/07,784
1474,第1475回,2005/01/10,576
1475,第1476回,2005/01/11,055
1476,第1477回,2005/01/12,275
1477,第1478回,2005/01/13,137
1478,第1479回,2005/01/14,536
1479,第1480回,2005/01/17,809
1480,第1481回,2005/01/18,328
1481,第1482回,2005/01/19,423
1482,第1483回,2005/01/20,780
1483,第1484回,2005/01/21,026
1484,第1485回,2005/01/24,369
1485,第1486回,2005/01/25,526
1486,第1487回,2005/01/26,465
1487,第1488回,2005/01/27,968
1488,第1489回,2005/01/28,218
1489,第1490回,2005/01/31,807
1490,第1491回,2005/02/01,287
1491,第1492回,2005/02/02,997
1492,第1493回,2005/02/03,313
1493,第1494回,2005/02/04,800
1494,第1495回,2005/02/07,601
1495,第1496回,2005/02/08,742
1496,第1497回,2005/02/09,738
1497,第1498回,2005/02/10,754
1498,第1499回,2005/02/11,196
1499,第1500回,2005/02/14,453
1500,第1501回,2005/02/15,793
1501,第1502回,2005/02/16,556
1502,第1503回,2005/02/17,533
1503,第1504回,2005/02/18,058
1504,第1505回,2005/02/21,419
1505,第1506回,2005/02/22,063
1506,第1507回,2005/02/23,379
1507,第1508回,2005/02/24,928
1508,第1509回,2005/02/25,613
1509,第1510回,2005/02/28,917
1510,第1511回,2005/03/01,212
1511,第1512回,2005/03/02,887
1512,第1513回,2005/03/03,970
1513,第1514回,2005/03/04,707
1514,第1515回,2005/03/07,412
1515,第1516回,2005/03/08,603
1516,第1517回,2005/03/09,578
1517,第1518回,2005/03/10,266
1518,第1519回,2005/03/11,384
1519,第1520回,2005/03/14,680
1520,第1521回,2005/03/15,087
1521,第1522回,2005/03/16,776
1522,第1523回,2005/03/17,387
1523,第1524回,2005/03/18,319
1524,第1525回,2005/03/21,729
1525,第1526回,2005/03/22,963
1526,第1527回,2005/03/23,751
1527,第1528回,2005/03/24,948
1528,第1529回,2005/03/25,235
1529,第1530回,2005/03/28,686
1530,第1531回,2005/03/29,857
1531,第1532回,2005/03/30,786
1532,第1533回,2005/03/31,716
1533,第1534回,2005/04/01,084
1534,第1535回,2005/04/04,567
1535,第1536回,2005/04/05,414
1536,第1537回,2005/04/06,482
1537,第1538回,2005/04/07,507
1538,第1539回,2005/04/08,215
1539,第1540回,2005/04/11,350
1540,第1541回,2005/04/12,776
1541,第1542回,2005/04/13,043
1542,第1543回,2005/04/14,400
1543,第1544回,2005/04/15,190
1544,第1545回,2005/04/18,629
1545,第1546回,2005/04/19,841
1546,第1547回,2005/04/20,073
1547,第1548回,2005/04/21,942
1548,第1549回,2005/04/22,203
1549,第1550回,2005/04/25,560
1550,第1551回,2005/04/26,788
1551,第1552回,2005/04/27,530
1552,第1553回,2005/04/28,178
1553,第1554回,2005/04/29,589
1554,第1555回,2005/05/02,459
1555,第1556回,2005/05/03,250
1556,第1557回,2005/05/04,222
1557,第1558回,2005/05/05,781
1558,第1559回,2005/05/06,614
1559,第1560回,2005/05/09,973
1560,第1561回,2005/05/10,378
1561,第1562回,2005/05/11,453
1562,第1563回,2005/05/12,542
1563,第1564回,2005/05/13,241
1564,第1565回,2005/05/16,565
1565,第1566回,2005/05/17,182
1566,第1567回,2005/05/18,016
1567,第1568回,2005/05/19,204
1568,第1569回,2005/05/20,529
1569,第1570回,2005/05/23,827
1570,第1571回,2005/05/24,660
1571,第1572回,2005/05/25,597
1572,第1573回,2005/05/26,917
1573,第1574回,2005/05/27,835
1574,第1575回,2005/05/30,659
1575,第1576回,2005/05/31,392
1576,第1577回,2005/06/01,634
1577,第1578回,2005/06/02,363
1578,第1579回,2005/06/03,327
1579,第1580回,2005/06/06,042
1580,第1581回,2005/06/07,100
1581,第1582回,2005/06/08,920
1582,第1583回,2005/06/09,287
1583,第1584回,2005/06/10,217
1584,第1585回,2005/06/13,709
1585,第1586回,2005/06/14,885
1586,第1587回,2005/06/15,368
1587,第1588回,2005/06/16,769
1588,第1589回,2005/06/17,351
1589,第1590回,2005/06/20,097
1590,第1591回,2005/06/21,671
1591,第1592回,2005/06/22,402
1592,第1593回,2005/06/23,378
1593,第1594回,2005/06/24,377
1594,第1595回,2005/06/27,065
1595,第1596回,2005/06/28,095
1596,第1597回,2005/06/29,747
1597,第1598回,2005/06/30,395
1598,第1599回,2005/07/01,332
1599,第1600回,2005/07/04,146
1600,第1601回,2005/07/05,899
1601,第1602回,2005/07/06,885
1602,第1603回,2005/07/07,762
1603,第1604回,2005/07/08,382
1604,第1605回,2005/07/11,964
1605,第1606回,2005/07/12,312
1606,第1607回,2005/07/13,382
1607,第1608回,2005/07/14,318
1608,第1609回,2005/07/15,430
1609,第1610回,2005/07/18,922
1610,第1611回,2005/07/19,441
1611,第1612回,2005/07/20,261
1612,第1613回,2005/07/21,465
1613,第1614回,2005/07/22,861
1614,第1615回,2005/07/25,448
1615,第1616回,2005/07/26,347
1616,第1617回,2005/07/27,726
1617,第1618回,2005/07/28,720
1618,第1619回,2005/07/29,319
1619,第1620回,2005/08/01,424
1620,第1621回,2005/08/02,482
1621,第1622回,2005/08/03,943
1622,第1623回,2005/08/04,934
1623,第1624回,2005/08/05,977
1624,第1625回,2005/08/08,929
1625,第1626回,2005/08/09,168
1626,第1627回,2005/08/10,368
1627,第1628回,2005/08/11,607
1628,第1629回,2005/08/12,660
1629,第1630回,2005/08/15,626
1630,第1631回,2005/08/16,755
1631,第1632回,2005/08/17,486
1632,第1633回,2005/08/18,868
1633,第1634回,2005/08/19,077
1634,第1635回,2005/08/22,509
1635,第1636回,2005/08/23,980
1636,第1637回,2005/08/24,644
1637,第1638回,2005/08/25,451
1638,第1639回,2005/08/26,501
1639,第1640回,2005/08/29,787
1640,第1641回,2005/08/30,439
1641,第1642回,2005/08/31,060
1642,第1643回,2005/09/01,948
1643,第1644回,2005/09/02,917
1644,第1645回,2005/09/05,792
1645,第1646回,2005/09/06,353
1646,第1647回,2005/09/07,057
1647,第1648回,2005/09/08,633
1648,第1649回,2005/09/09,722
1649,第1650回,2005/09/12,775
1650,第1651回,2005/09/13,839
1651,第1652回,2005/09/14,059
1652,第1653回,2005/09/15,975
1653,第1654回,2005/09/16,638
1654,第1655回,2005/09/19,927
1655,第1656回,2005/09/20,784
1656,第1657回,2005/09/21,198
1657,第1658回,2005/09/22,896
1658,第1659回,2005/09/23,823
1659,第1660回,2005/09/26,554
1660,第1661回,2005/09/27,138
1661,第1662回,2005/09/28,783
1662,第1663回,2005/09/29,852
1663,第1664回,2005/09/30,542
1664,第1665回,2005/10/03,571
1665,第1666回,2005/10/04,193
1666,第1667回,2005/10/05,928
1667,第1668回,2005/10/06,616
1668,第1669回,2005/10/07,026
1669,第1670回,2005/10/10,968
1670,第1671回,2005/10/11,175
1671,第1672回,2005/10/12,990
1672,第1673回,2005/10/13,871
1673,第1674回,2005/10/14,673
1674,第1675回,2005/10/17,269
1675,第1676回,2005/10/18,448
1676,第1677回,2005/10/19,288
1677,第1678回,2005/10/20,775
1678,第1679回,2005/10/21,650
1679,第1680回,2005/10/24,832
1680,第1681回,2005/10/25,741
1681,第1682回,2005/10/26,237
1682,第1683回,2005/10/27,797
1683,第1684回,2005/10/28,461
1684,第1685回,2005/10/31,453
1685,第1686回,2005/11/01,015
1686,第1687回,2005/11/02,097
1687,第1688回,2005/11/03,918
1688,第1689回,2005/11/04,357
1689,第1690回,2005/11/07,559
1690,第1691回,2005/11/08,180
1691,第1692回,2005/11/09,538
1692,第1693回,2005/11/10,906
1693,第1694回,2005/11/11,808
1694,第1695回,2005/11/14,639
1695,第1696回,2005/11/15,948
1696,第1697回,2005/11/16,893
1697,第1698回,2005/11/17,533
1698,第1699回,2005/11/18,047
1699,第1700回,2005/11/21,844
1700,第1701回,2005/11/22,678
1701,第1702回,2005/11/23,469
1702,第1703回,2005/11/24,449
