,開催回,抽選日,抽選数字,year,month,day,weekday,hundred,ten,one
1021,第1022回,2002-06-12,463,2002,6,12,2,4,6,3
1022,第1023回,2002-06-14,224,2002,6,14,4,2,2,4
1023,第1024回,2002-06-17,423,2002,6,17,0,4,2,3
1024,第1025回,2002-06-19,793,2002,6,19,2,7,9,3
1025,第1026回,2002-06-21,554,2002,6,21,4,5,5,4
1026,第1027回,2002-06-24,794,2002,6,24,0,7,9,4
1027,第1028回,2002-06-26,441,2002,6,26,2,4,4,1
1028,第1029回,2002-06-28,825,2002,6,28,4,8,2,5
1029,第1030回,2002-07-01,260,2002,7,1,0,2,6,0
1030,第1031回,2002-07-03,216,2002,7,3,2,2,1,6
1031,第1032回,2002-07-05,404,2002,7,5,4,4,0,4
1032,第1033回,2002-07-08,466,2002,7,8,0,4,6,6
1033,第1034回,2002-07-10,249,2002,7,10,2,2,4,9
1034,第1035回,2002-07-12,067,2002,7,12,4,0,6,7
1035,第1036回,2002-07-15,524,2002,7,15,0,5,2,4
1036,第1037回,2002-07-17,925,2002,7,17,2,9,2,5
1037,第1038回,2002-07-19,143,2002,7,19,4,1,4,3
1038,第1039回,2002-07-22,258,2002,7,22,0,2,5,8
1039,第1040回,2002-07-24,108,2002,7,24,2,1,0,8
1040,第1041回,2002-07-26,526,2002,7,26,4,5,2,6
1041,第1042回,2002-07-29,647,2002,7,29,0,6,4,7
1042,第1043回,2002-07-31,844,2002,7,31,2,8,4,4
1043,第1044回,2002-08-02,883,2002,8,2,4,8,8,3
1044,第1045回,2002-08-05,267,2002,8,5,0,2,6,7
1045,第1046回,2002-08-07,676,2002,8,7,2,6,7,6
1046,第1047回,2002-08-09,165,2002,8,9,4,1,6,5
1047,第1048回,2002-08-12,602,2002,8,12,0,6,0,2
1048,第1049回,2002-08-14,006,2002,8,14,2,0,0,6
1049,第1050回,2002-08-16,290,2002,8,16,4,2,9,0
1050,第1051回,2002-08-19,538,2002,8,19,0,5,3,8
1051,第1052回,2002-08-21,642,2002,8,21,2,6,4,2
1052,第1053回,2002-08-23,670,2002,8,23,4,6,7,0
1053,第1054回,2002-08-26,911,2002,8,26,0,9,1,1
1054,第1055回,2002-08-28,552,2002,8,28,2,5,5,2
1055,第1056回,2002-08-30,646,2002,8,30,4,6,4,6
1056,第1057回,2002-09-02,137,2002,9,2,0,1,3,7
1057,第1058回,2002-09-04,347,2002,9,4,2,3,4,7
1058,第1059回,2002-09-06,879,2002,9,6,4,8,7,9
1059,第1060回,2002-09-09,966,2002,9,9,0,9,6,6
1060,第1061回,2002-09-11,995,2002,9,11,2,9,9,5
1061,第1062回,2002-09-13,165,2002,9,13,4,1,6,5
1062,第1063回,2002-09-16,966,2002,9,16,0,9,6,6
1063,第1064回,2002-09-18,228,2002,9,18,2,2,2,8
1064,第1065回,2002-09-20,385,2002,9,20,4,3,8,5
1065,第1066回,2002-09-23,571,2002,9,23,0,5,7,1
1066,第1067回,2002-09-25,259,2002,9,25,2,2,5,9
1067,第1068回,2002-09-27,330,2002,9,27,4,3,3,0
1068,第1069回,2002-09-30,670,2002,9,30,0,6,7,0
1069,第1070回,2002-10-02,853,2002,10,2,2,8,5,3
1070,第1071回,2002-10-04,910,2002,10,4,4,9,1,0
1071,第1072回,2002-10-07,382,2002,10,7,0,3,8,2
1072,第1073回,2002-10-09,461,2002,10,9,2,4,6,1
1073,第1074回,2002-10-11,866,2002,10,11,4,8,6,6
1074,第1075回,2002-10-14,567,2002,10,14,0,5,6,7
1075,第1076回,2002-10-16,954,2002,10,16,2,9,5,4
1076,第1077回,2002-10-18,294,2002,10,18,4,2,9,4
1077,第1078回,2002-10-21,408,2002,10,21,0,4,0,8
1078,第1079回,2002-10-23,438,2002,10,23,2,4,3,8
1079,第1080回,2002-10-25,410,2002,10,25,4,4,1,0
1080,第1081回,2002-10-28,465,2002,10,28,0,4,6,5
1081,第1082回,2002-10-30,486,2002,10,30,2,4,8,6
1082,第1083回,2002-11-01,334,2002,11,1,4,3,3,4
1083,第1084回,2002-11-04,721,2002,11,4,0,7,2,1
1084,第1085回,2002-11-06,175,2002,11,6,2,1,7,5
1085,第1086回,2002-11-08,750,2002,11,8,4,7,5,0
1086,第1087回,2002-11-11,299,2002,11,11,0,2,9,9
1087,第1088回,2002-11-13,305,2002,11,13,2,3,0,5
1088,第1089回,2002-11-15,670,2002,11,15,4,6,7,0
1089,第1090回,2002-11-18,549,2002,11,18,0,5,4,9
1090,第1091回,2002-11-20,621,2002,11,20,2,6,2,1
1091,第1092回,2002-11-22,779,2002,11,22,4,7,7,9
1092,第1093回,2002-11-25,782,2002,11,25,0,7,8,2
1093,第1094回,2002-11-27,798,2002,11,27,2,7,9,8
1094,第1095回,2002-11-29,289,2002,11,29,4,2,8,9
1095,第1096回,2002-12-02,601,2002,12,2,0,6,0,1
1096,第1097回,2002-12-04,188,2002,12,4,2,1,8,8
1097,第1098回,2002-12-06,053,2002,12,6,4,0,5,3
1098,第1099回,2002-12-09,180,2002,12,9,0,1,8,0
1099,第1100回,2002-12-11,390,2002,12,11,2,3,9,0
1100,第1101回,2002-12-13,232,2002,12,13,4,2,3,2
1101,第1102回,2002-12-16,015,2002,12,16,0,0,1,5
1102,第1103回,2002-12-18,270,2002,12,18,2,2,7,0
1103,第1104回,2002-12-20,386,2002,12,20,4,3,8,6
1104,第1105回,2002-12-23,748,2002,12,23,0,7,4,8
1105,第1106回,2002-12-25,821,2002,12,25,2,8,2,1
1106,第1107回,2002-12-27,519,2002,12,27,4,5,1,9
1107,第1108回,2002-12-30,407,2002,12,30,0,4,0,7
1108,第1109回,2003-01-06,739,2003,1,6,0,7,3,9
1109,第1110回,2003-01-08,904,2003,1,8,2,9,0,4
1110,第1111回,2003-01-10,850,2003,1,10,4,8,5,0
1111,第1112回,2003-01-13,417,2003,1,13,0,4,1,7
1112,第1113回,2003-01-15,735,2003,1,15,2,7,3,5
1113,第1114回,2003-01-17,685,2003,1,17,4,6,8,5
1114,第1115回,2003-01-20,703,2003,1,20,0,7,0,3
1115,第1116回,2003-01-22,409,2003,1,22,2,4,0,9
1116,第1117回,2003-01-24,718,2003,1,24,4,7,1,8
1117,第1118回,2003-01-27,816,2003,1,27,0,8,1,6
1118,第1119回,2003-01-29,264,2003,1,29,2,2,6,4
1119,第1120回,2003-01-31,789,2003,1,31,4,7,8,9
1120,第1121回,2003-02-03,996,2003,2,3,0,9,9,6
1121,第1122回,2003-02-05,702,2003,2,5,2,7,0,2
1122,第1123回,2003-02-07,687,2003,2,7,4,6,8,7
1123,第1124回,2003-02-10,818,2003,2,10,0,8,1,8
1124,第1125回,2003-02-12,820,2003,2,12,2,8,2,0
1125,第1126回,2003-02-14,361,2003,2,14,4,3,6,1
1126,第1127回,2003-02-17,554,2003,2,17,0,5,5,4
1127,第1128回,2003-02-19,956,2003,2,19,2,9,5,6
1128,第1129回,2003-02-21,264,2003,2,21,4,2,6,4
1129,第1130回,2003-02-24,036,2003,2,24,0,0,3,6
1130,第1131回,2003-02-26,210,2003,2,26,2,2,1,0
1131,第1132回,2003-02-28,418,2003,2,28,4,4,1,8
1132,第1133回,2003-03-03,036,2003,3,3,0,0,3,6
1133,第1134回,2003-03-05,251,2003,3,5,2,2,5,1
1134,第1135回,2003-03-07,887,2003,3,7,4,8,8,7
1135,第1136回,2003-03-10,410,2003,3,10,0,4,1,0
1136,第1137回,2003-03-12,233,2003,3,12,2,2,3,3
1137,第1138回,2003-03-14,250,2003,3,14,4,2,5,0
1138,第1139回,2003-03-17,072,2003,3,17,0,0,7,2
1139,第1140回,2003-03-19,757,2003,3,19,2,7,5,7
1140,第1141回,2003-03-21,917,2003,3,21,4,9,1,7
1141,第1142回,2003-03-24,540,2003,3,24,0,5,4,0
1142,第1143回,2003-03-26,129,2003,3,26,2,1,2,9
1143,第1144回,2003-03-28,999,2003,3,28,4,9,9,9
1144,第1145回,2003-03-31,126,2003,3,31,0,1,2,6
1145,第1146回,2003-04-02,442,2003,4,2,2,4,4,2
1146,第1147回,2003-04-04,428,2003,4,4,4,4,2,8
1147,第1148回,2003-04-07,016,2003,4,7,0,0,1,6
1148,第1149回,2003-04-09,511,2003,4,9,2,5,1,1
1149,第1150回,2003-04-11,831,2003,4,11,4,8,3,1
1150,第1151回,2003-04-14,714,2003,4,14,0,7,1,4
1151,第1152回,2003-04-16,177,2003,4,16,2,1,7,7
1152,第1153回,2003-04-18,687,2003,4,18,4,6,8,7
1153,第1154回,2003-04-21,142,2003,4,21,0,1,4,2
1154,第1155回,2003-04-23,309,2003,4,23,2,3,0,9
1155,第1156回,2003-04-25,198,2003,4,25,4,1,9,8
1156,第1157回,2003-04-28,041,2003,4,28,0,0,4,1
1157,第1158回,2003-04-30,971,2003,4,30,2,9,7,1
1158,第1159回,2003-05-02,806,2003,5,2,4,8,0,6
1159,第1160回,2003-05-05,831,2003,5,5,0,8,3,1
1160,第1161回,2003-05-07,577,2003,5,7,2,5,7,7
1161,第1162回,2003-05-09,366,2003,5,9,4,3,6,6
1162,第1163回,2003-05-12,990,2003,5,12,0,9,9,0
1163,第1164回,2003-05-14,835,2003,5,14,2,8,3,5
1164,第1165回,2003-05-16,644,2003,5,16,4,6,4,4
1165,第1166回,2003-05-19,254,2003,5,19,0,2,5,4
1166,第1167回,2003-05-21,183,2003,5,21,2,1,8,3
1167,第1168回,2003-05-23,280,2003,5,23,4,2,8,0
1168,第1169回,2003-05-26,400,2003,5,26,0,4,0,0
1169,第1170回,2003-05-28,617,2003,5,28,2,6,1,7
1170,第1171回,2003-05-30,581,2003,5,30,4,5,8,1
1171,第1172回,2003-06-02,020,2003,6,2,0,0,2,0
1172,第1173回,2003-06-04,271,2003,6,4,2,2,7,1
1173,第1174回,2003-06-06,170,2003,6,6,4,1,7,0
1174,第1175回,2003-06-09,493,2003,6,9,0,4,9,3
1175,第1176回,2003-06-11,608,2003,6,11,2,6,0,8
1176,第1177回,2003-06-13,441,2003,6,13,4,4,4,1
1177,第1178回,2003-06-16,996,2003,6,16,0,9,9,6
1178,第1179回,2003-06-18,889,2003,6,18,2,8,8,9
1179,第1180回,2003-06-20,044,2003,6,20,4,0,4,4
1180,第1181回,2003-06-23,346,2003,6,23,0,3,4,6
1181,第1182回,2003-06-25,903,2003,6,25,2,9,0,3
1182,第1183回,2003-06-27,609,2003,6,27,4,6,0,9
1183,第1184回,2003-06-30,749,2003,6,30,0,7,4,9
1184,第1185回,2003-07-02,342,2003,7,2,2,3,4,2
1185,第1186回,2003-07-04,422,2003,7,4,4,4,2,2
1186,第1187回,2003-07-07,184,2003,7,7,0,1,8,4
1187,第1188回,2003-07-09,865,2003,7,9,2,8,6,5
1188,第1189回,2003-07-11,463,2003,7,11,4,4,6,3
1189,第1190回,2003-07-14,556,2003,7,14,0,5,5,6
1190,第1191回,2003-07-16,269,2003,7,16,2,2,6,9
1191,第1192回,2003-07-18,664,2003,7,18,4,6,6,4
1192,第1193回,2003-07-21,686,2003,7,21,0,6,8,6
1193,第1194回,2003-07-23,438,2003,7,23,2,4,3,8
1194,第1195回,2003-07-25,416,2003,7,25,4,4,1,6
1195,第1196回,2003-07-28,897,2003,7,28,0,8,9,7
1196,第1197回,2003-07-30,695,2003,7,30,2,6,9,5
1197,第1198回,2003-08-01,547,2003,8,1,4,5,4,7
1198,第1199回,2003-08-04,152,2003,8,4,0,1,5,2
1199,第1200回,2003-08-06,944,2003,8,6,2,9,4,4
1200,第1201回,2003-08-08,957,2003,8,8,4,9,5,7
1201,第1202回,2003-08-11,459,2003,8,11,0,4,5,9
1202,第1203回,2003-08-13,989,2003,8,13,2,9,8,9
1203,第1204回,2003-08-15,820,2003,8,15,4,8,2,0
1204,第1205回,2003-08-18,766,2003,8,18,0,7,6,6
1205,第1206回,2003-08-20,943,2003,8,20,2,9,4,3
1206,第1207回,2003-08-22,958,2003,8,22,4,9,5,8
1207,第1208回,2003-08-25,160,2003,8,25,0,1,6,0
1208,第1209回,2003-08-27,612,2003,8,27,2,6,1,2
1209,第1210回,2003-08-29,162,2003,8,29,4,1,6,2
1210,第1211回,2003-09-01,304,2003,9,1,0,3,0,4
1211,第1212回,2003-09-03,638,2003,9,3,2,6,3,8
1212,第1213回,2003-09-05,415,2003,9,5,4,4,1,5
1213,第1214回,2003-09-08,911,2003,9,8,0,9,1,1
1214,第1215回,2003-09-10,979,2003,9,10,2,9,7,9
1215,第1216回,2003-09-12,221,2003,9,12,4,2,2,1
1216,第1217回,2003-09-15,279,2003,9,15,0,2,7,9
1217,第1218回,2003-09-17,933,2003,9,17,2,9,3,3
1218,第1219回,2003-09-19,825,2003,9,19,4,8,2,5
1219,第1220回,2003-09-22,118,2003,9,22,0,1,1,8
1220,第1221回,2003-09-24,496,2003,9,24,2,4,9,6
1221,第1222回,2003-09-26,267,2003,9,26,4,2,6,7
1222,第1223回,2003-09-29,784,2003,9,29,0,7,8,4
1223,第1224回,2003-10-01,495,2003,10,1,2,4,9,5
1224,第1225回,2003-10-03,913,2003,10,3,4,9,1,3
1225,第1226回,2003-10-06,337,2003,10,6,0,3,3,7
1226,第1227回,2003-10-08,953,2003,10,8,2,9,5,3
1227,第1228回,2003-10-10,899,2003,10,10,4,8,9,9
1228,第1229回,2003-10-13,842,2003,10,13,0,8,4,2
1229,第1230回,2003-10-15,274,2003,10,15,2,2,7,4
1230,第1231回,2003-10-17,260,2003,10,17,4,2,6,0
1231,第1232回,2003-10-20,317,2003,10,20,0,3,1,7
1232,第1233回,2003-10-22,738,2003,10,22,2,7,3,8
1233,第1234回,2003-10-24,796,2003,10,24,4,7,9,6
1234,第1235回,2003-10-27,235,2003,10,27,0,2,3,5
1235,第1236回,2003-10-29,885,2003,10,29,2,8,8,5
1236,第1237回,2003-10-31,852,2003,10,31,4,8,5,2
1237,第1238回,2003-11-03,891,2003,11,3,0,8,9,1
1238,第1239回,2003-11-05,348,2003,11,5,2,3,4,8
1239,第1240回,2003-11-07,798,2003,11,7,4,7,9,8
1240,第1241回,2003-11-10,930,2003,11,10,0,9,3,0
1241,第1242回,2003-11-12,175,2003,11,12,2,1,7,5
1242,第1243回,2003-11-14,622,2003,11,14,4,6,2,2
1243,第1244回,2003-11-17,651,2003,11,17,0,6,5,1
1244,第1245回,2003-11-19,704,2003,11,19,2,7,0,4
1245,第1246回,2003-11-21,518,2003,11,21,4,5,1,8
1246,第1247回,2003-11-24,054,2003,11,24,0,0,5,4
1247,第1248回,2003-11-26,504,2003,11,26,2,5,0,4
1248,第1249回,2003-11-28,455,2003,11,28,4,4,5,5
1249,第1250回,2003-12-01,276,2003,12,1,0,2,7,6
1250,第1251回,2003-12-03,106,2003,12,3,2,1,0,6
1251,第1252回,2003-12-05,936,2003,12,5,4,9,3,6
1252,第1253回,2003-12-08,353,2003,12,8,0,3,5,3
1253,第1254回,2003-12-10,058,2003,12,10,2,0,5,8
1254,第1255回,2003-12-12,958,2003,12,12,4,9,5,8
1255,第1256回,2003-12-15,080,2003,12,15,0,0,8,0
1256,第1257回,2003-12-17,239,2003,12,17,2,2,3,9
1257,第1258回,2003-12-19,188,2003,12,19,4,1,8,8
1258,第1259回,2003-12-22,606,2003,12,22,0,6,0,6
1259,第1260回,2003-12-24,021,2003,12,24,2,0,2,1
1260,第1261回,2003-12-26,724,2003,12,26,4,7,2,4
1261,第1262回,2003-12-29,471,2003,12,29,0,4,7,1
1262,第1263回,2004-01-05,491,2004,1,5,0,4,9,1
1263,第1264回,2004-01-07,669,2004,1,7,2,6,6,9
1264,第1265回,2004-01-09,409,2004,1,9,4,4,0,9
1265,第1266回,2004-01-12,884,2004,1,12,0,8,8,4
1266,第1267回,2004-01-14,121,2004,1,14,2,1,2,1
1267,第1268回,2004-01-16,445,2004,1,16,4,4,4,5
1268,第1269回,2004-01-19,136,2004,1,19,0,1,3,6
1269,第1270回,2004-01-21,004,2004,1,21,2,0,0,4
1270,第1271回,2004-01-23,320,2004,1,23,4,3,2,0
1271,第1272回,2004-01-26,068,2004,1,26,0,0,6,8
1272,第1273回,2004-01-28,337,2004,1,28,2,3,3,7
1273,第1274回,2004-01-30,281,2004,1,30,4,2,8,1
1274,第1275回,2004-02-02,427,2004,2,2,0,4,2,7
1275,第1276回,2004-02-04,869,2004,2,4,2,8,6,9
1276,第1277回,2004-02-06,777,2004,2,6,4,7,7,7
1277,第1278回,2004-02-09,465,2004,2,9,0,4,6,5
1278,第1279回,2004-02-11,583,2004,2,11,2,5,8,3
1279,第1280回,2004-02-13,822,2004,2,13,4,8,2,2
1280,第1281回,2004-02-16,040,2004,2,16,0,0,4,0
1281,第1282回,2004-02-18,204,2004,2,18,2,2,0,4
1282,第1283回,2004-02-20,513,2004,2,20,4,5,1,3
1283,第1284回,2004-02-23,990,2004,2,23,0,9,9,0
1284,第1285回,2004-02-25,119,2004,2,25,2,1,1,9
1285,第1286回,2004-02-27,051,2004,2,27,4,0,5,1
1286,第1287回,2004-03-01,745,2004,3,1,0,7,4,5
1287,第1288回,2004-03-03,030,2004,3,3,2,0,3,0
1288,第1289回,2004-03-05,407,2004,3,5,4,4,0,7
1289,第1290回,2004-03-08,162,2004,3,8,0,1,6,2
1290,第1291回,2004-03-10,517,2004,3,10,2,5,1,7
1291,第1292回,2004-03-12,725,2004,3,12,4,7,2,5
1292,第1293回,2004-03-15,000,2004,3,15,0,0,0,0
1293,第1294回,2004-03-17,558,2004,3,17,2,5,5,8
1294,第1295回,2004-03-19,170,2004,3,19,4,1,7,0
1295,第1296回,2004-03-22,893,2004,3,22,0,8,9,3
1296,第1297回,2004-03-24,526,2004,3,24,2,5,2,6
1297,第1298回,2004-03-26,174,2004,3,26,4,1,7,4
1298,第1299回,2004-03-29,211,2004,3,29,0,2,1,1
1299,第1300回,2004-03-31,590,2004,3,31,2,5,9,0
1300,第1301回,2004-04-02,820,2004,4,2,4,8,2,0
1301,第1302回,2004-04-05,189,2004,4,5,0,1,8,9
1302,第1303回,2004-04-07,330,2004,4,7,2,3,3,0
1303,第1304回,2004-04-09,308,2004,4,9,4,3,0,8
1304,第1305回,2004-04-12,936,2004,4,12,0,9,3,6
1305,第1306回,2004-04-14,563,2004,4,14,2,5,6,3
1306,第1307回,2004-04-16,900,2004,4,16,4,9,0,0
1307,第1308回,2004-04-19,733,2004,4,19,0,7,3,3
1308,第1309回,2004-04-21,374,2004,4,21,2,3,7,4
1309,第1310回,2004-04-23,842,2004,4,23,4,8,4,2
1310,第1311回,2004-04-26,922,2004,4,26,0,9,2,2
1311,第1312回,2004-04-28,764,2004,4,28,2,7,6,4
1312,第1313回,2004-04-30,671,2004,4,30,4,6,7,1
1313,第1314回,2004-05-03,653,2004,5,3,0,6,5,3
1314,第1315回,2004-05-05,758,2004,5,5,2,7,5,8
1315,第1316回,2004-05-07,953,2004,5,7,4,9,5,3
1316,第1317回,2004-05-10,737,2004,5,10,0,7,3,7
1317,第1318回,2004-05-12,308,2004,5,12,2,3,0,8
1318,第1319回,2004-05-14,567,2004,5,14,4,5,6,7
1319,第1320回,2004-05-17,452,2004,5,17,0,4,5,2
1320,第1321回,2004-05-19,490,2004,5,19,2,4,9,0
1321,第1322回,2004-05-21,784,2004,5,21,4,7,8,4
1322,第1323回,2004-05-24,302,2004,5,24,0,3,0,2
1323,第1324回,2004-05-26,855,2004,5,26,2,8,5,5
1324,第1325回,2004-05-28,226,2004,5,28,4,2,2,6
1325,第1326回,2004-05-31,673,2004,5,31,0,6,7,3
1326,第1327回,2004-06-02,215,2004,6,2,2,2,1,5
1327,第1328回,2004-06-04,376,2004,6,4,4,3,7,6
1328,第1329回,2004-06-07,554,2004,6,7,0,5,5,4
1329,第1330回,2004-06-09,076,2004,6,9,2,0,7,6
1330,第1331回,2004-06-11,859,2004,6,11,4,8,5,9
1331,第1332回,2004-06-14,978,2004,6,14,0,9,7,8
1332,第1333回,2004-06-16,134,2004,6,16,2,1,3,4
1333,第1334回,2004-06-18,236,2004,6,18,4,2,3,6
1334,第1335回,2004-06-21,462,2004,6,21,0,4,6,2
1335,第1336回,2004-06-23,206,2004,6,23,2,2,0,6
1336,第1337回,2004-06-25,814,2004,6,25,4,8,1,4
1337,第1338回,2004-06-28,837,2004,6,28,0,8,3,7
1338,第1339回,2004-06-30,902,2004,6,30,2,9,0,2
1339,第1340回,2004-07-01,597,2004,7,1,3,5,9,7
1340,第1341回,2004-07-02,670,2004,7,2,4,6,7,0
1341,第1342回,2004-07-05,543,2004,7,5,0,5,4,3
1342,第1343回,2004-07-06,879,2004,7,6,1,8,7,9
1343,第1344回,2004-07-07,342,2004,7,7,2,3,4,2
1344,第1345回,2004-07-08,994,2004,7,8,3,9,9,4
1345,第1346回,2004-07-09,765,2004,7,9,4,7,6,5
1346,第1347回,2004-07-12,018,2004,7,12,0,0,1,8
1347,第1348回,2004-07-13,821,2004,7,13,1,8,2,1
1348,第1349回,2004-07-14,498,2004,7,14,2,4,9,8
1349,第1350回,2004-07-15,632,2004,7,15,3,6,3,2
1350,第1351回,2004-07-16,240,2004,7,16,4,2,4,0
1351,第1352回,2004-07-19,562,2004,7,19,0,5,6,2
1352,第1353回,2004-07-20,931,2004,7,20,1,9,3,1
1353,第1354回,2004-07-21,590,2004,7,21,2,5,9,0
1354,第1355回,2004-07-22,078,2004,7,22,3,0,7,8
1355,第1356回,2004-07-23,998,2004,7,23,4,9,9,8
1356,第1357回,2004-07-26,883,2004,7,26,0,8,8,3
1357,第1358回,2004-07-27,166,2004,7,27,1,1,6,6
1358,第1359回,2004-07-28,973,2004,7,28,2,9,7,3
1359,第1360回,2004-07-29,109,2004,7,29,3,1,0,9
1360,第1361回,2004-07-30,223,2004,7,30,4,2,2,3
1361,第1362回,2004-08-02,286,2004,8,2,0,2,8,6
1362,第1363回,2004-08-03,844,2004,8,3,1,8,4,4
1363,第1364回,2004-08-04,843,2004,8,4,2,8,4,3
1364,第1365回,2004-08-05,970,2004,8,5,3,9,7,0
1365,第1366回,2004-08-06,112,2004,8,6,4,1,1,2
1366,第1367回,2004-08-09,451,2004,8,9,0,4,5,1
1367,第1368回,2004-08-10,480,2004,8,10,1,4,8,0
1368,第1369回,2004-08-11,955,2004,8,11,2,9,5,5
1369,第1370回,2004-08-12,497,2004,8,12,3,4,9,7
1370,第1371回,2004-08-13,822,2004,8,13,4,8,2,2
1371,第1372回,2004-08-16,383,2004,8,16,0,3,8,3
1372,第1373回,2004-08-17,611,2004,8,17,1,6,1,1
1373,第1374回,2004-08-18,005,2004,8,18,2,0,0,5
1374,第1375回,2004-08-19,281,2004,8,19,3,2,8,1
1375,第1376回,2004-08-20,114,2004,8,20,4,1,1,4
1376,第1377回,2004-08-23,066,2004,8,23,0,0,6,6
1377,第1378回,2004-08-24,200,2004,8,24,1,2,0,0
1378,第1379回,2004-08-25,717,2004,8,25,2,7,1,7
1379,第1380回,2004-08-26,983,2004,8,26,3,9,8,3
1380,第1381回,2004-08-27,558,2004,8,27,4,5,5,8
1381,第1382回,2004-08-30,601,2004,8,30,0,6,0,1
1382,第1383回,2004-08-31,512,2004,8,31,1,5,1,2
1383,第1384回,2004-09-01,525,2004,9,1,2,5,2,5
1384,第1385回,2004-09-02,355,2004,9,2,3,3,5,5
1385,第1386回,2004-09-03,489,2004,9,3,4,4,8,9
1386,第1387回,2004-09-06,905,2004,9,6,0,9,0,5
1387,第1388回,2004-09-07,632,2004,9,7,1,6,3,2
1388,第1389回,2004-09-08,463,2004,9,8,2,4,6,3
1389,第1390回,2004-09-09,782,2004,9,9,3,7,8,2
1390,第1391回,2004-09-10,808,2004,9,10,4,8,0,8
1391,第1392回,2004-09-13,921,2004,9,13,0,9,2,1
1392,第1393回,2004-09-14,190,2004,9,14,1,1,9,0
1393,第1394回,2004-09-15,593,2004,9,15,2,5,9,3
1394,第1395回,2004-09-16,234,2004,9,16,3,2,3,4
1395,第1396回,2004-09-17,621,2004,9,17,4,6,2,1
1396,第1397回,2004-09-20,934,2004,9,20,0,9,3,4
1397,第1398回,2004-09-21,812,2004,9,21,1,8,1,2
1398,第1399回,2004-09-22,540,2004,9,22,2,5,4,0
1399,第1400回,2004-09-23,522,2004,9,23,3,5,2,2
1400,第1401回,2004-09-24,206,2004,9,24,4,2,0,6
1401,第1402回,2004-09-27,374,2004,9,27,0,3,7,4
1402,第1403回,2004-09-28,638,2004,9,28,1,6,3,8
1403,第1404回,2004-09-29,804,2004,9,29,2,8,0,4
1404,第1405回,2004-09-30,187,2004,9,30,3,1,8,7
1405,第1406回,2004-10-01,374,2004,10,1,4,3,7,4
1406,第1407回,2004-10-04,835,2004,10,4,0,8,3,5
1407,第1408回,2004-10-05,945,2004,10,5,1,9,4,5
1408,第1409回,2004-10-06,949,2004,10,6,2,9,4,9
1409,第1410回,2004-10-07,391,2004,10,7,3,3,9,1
1410,第1411回,2004-10-08,355,2004,10,8,4,3,5,5
1411,第1412回,2004-10-11,697,2004,10,11,0,6,9,7
1412,第1413回,2004-10-12,620,2004,10,12,1,6,2,0
1413,第1414回,2004-10-13,670,2004,10,13,2,6,7,0
1414,第1415回,2004-10-14,189,2004,10,14,3,1,8,9
1415,第1416回,2004-10-15,266,2004,10,15,4,2,6,6
1416,第1417回,2004-10-18,876,2004,10,18,0,8,7,6
1417,第1418回,2004-10-19,335,2004,10,19,1,3,3,5
1418,第1419回,2004-10-20,064,2004,10,20,2,0,6,4
1419,第1420回,2004-10-21,499,2004,10,21,3,4,9,9
1420,第1421回,2004-10-22,490,2004,10,22,4,4,9,0
1421,第1422回,2004-10-25,945,2004,10,25,0,9,4,5
1422,第1423回,2004-10-26,234,2004,10,26,1,2,3,4
1423,第1424回,2004-10-27,353,2004,10,27,2,3,5,3
1424,第1425回,2004-10-28,660,2004,10,28,3,6,6,0
1425,第1426回,2004-10-29,754,2004,10,29,4,7,5,4
1426,第1427回,2004-11-01,638,2004,11,1,0,6,3,8
1427,第1428回,2004-11-02,699,2004,11,2,1,6,9,9
1428,第1429回,2004-11-03,819,2004,11,3,2,8,1,9
1429,第1430回,2004-11-04,295,2004,11,4,3,2,9,5
1430,第1431回,2004-11-05,742,2004,11,5,4,7,4,2
1431,第1432回,2004-11-08,400,2004,11,8,0,4,0,0
1432,第1433回,2004-11-09,638,2004,11,9,1,6,3,8
1433,第1434回,2004-11-10,299,2004,11,10,2,2,9,9
1434,第1435回,2004-11-11,545,2004,11,11,3,5,4,5
1435,第1436回,2004-11-12,196,2004,11,12,4,1,9,6
1436,第1437回,2004-11-15,667,2004,11,15,0,6,6,7
1437,第1438回,2004-11-16,582,2004,11,16,1,5,8,2
1438,第1439回,2004-11-17,306,2004,11,17,2,3,0,6
1439,第1440回,2004-11-18,684,2004,11,18,3,6,8,4
1440,第1441回,2004-11-19,798,2004,11,19,4,7,9,8
1441,第1442回,2004-11-22,094,2004,11,22,0,0,9,4
1442,第1443回,2004-11-23,701,2004,11,23,1,7,0,1
1443,第1444回,2004-11-24,065,2004,11,24,2,0,6,5
1444,第1445回,2004-11-25,392,2004,11,25,3,3,9,2
1445,第1446回,2004-11-26,588,2004,11,26,4,5,8,8
1446,第1447回,2004-11-29,925,2004,11,29,0,9,2,5
1447,第1448回,2004-11-30,189,2004,11,30,1,1,8,9
1448,第1449回,2004-12-01,940,2004,12,1,2,9,4,0
1449,第1450回,2004-12-02,133,2004,12,2,3,1,3,3
1450,第1451回,2004-12-03,288,2004,12,3,4,2,8,8
1451,第1452回,2004-12-06,301,2004,12,6,0,3,0,1
1452,第1453回,2004-12-07,966,2004,12,7,1,9,6,6
1453,第1454回,2004-12-08,616,2004,12,8,2,6,1,6
1454,第1455回,2004-12-09,363,2004,12,9,3,3,6,3
1455,第1456回,2004-12-10,662,2004,12,10,4,6,6,2
1456,第1457回,2004-12-13,310,2004,12,13,0,3,1,0
